"Geo Code","Geo Name","Line Number"
"2021S0503932","Abbotsford - Mission",2
"2021A00055909052","Abbotsford",1626
"2021A00055909856","Langley 2",3250
"2021A00055909878","Matsqui Main 2",4874
"2021A00055909056","Mission",6498
"2021A00055909877","Upper Sumas 6",8122
"2021S0504410","Alma",9746
"2021A00052493042","Alma",11370
"2021S0504481","Amos",12994
"2021A00052488055","Amos",14618
"2021A00052488070","Berry",16242
"2021A00052488802","Pikogan",17866
"2021A00052488065","Saint-Dominique-du-Rosaire",19490
"2021A00052488060","Saint-Félix-de-Dalquier",21114
"2021A00052488040","Saint-Marc-de-Figuery",22738
"2021A00052488050","Saint-Mathieu-d'Harricana",24362
"2021A00052488085","Sainte-Gertrude-Manneville",25986
"2021A00052488075","Trécesson",27610
"2021S0504406","Baie-Comeau",29234
"2021A00052496020","Baie-Comeau",30858
"2021A00052496035","Chute-aux-Outardes",32482
"2021A00052496025","Pointe-Lebel",34106
"2021A00052496030","Pointe-aux-Outardes",35730
"2021A00052496040","Ragueneau",37354
"2021S0503568","Barrie",38978
"2021A00053543042","Barrie",40602
"2021A00053543017","Innisfil",42226
"2021A00053543009","Springwater",43850
"2021S0504328","Bathurst",45474
"2021A00051315008","Bathurst",47098
"2021A00051315011","Bathurst",48722
"2021A00051315012","Beresford",50346
"2021A00051315015","Beresford",51970
"2021A00051315037","Nigadoo",53594
"2021A00051315010","Pabineau 11",55218
"2021A00051315014","Petit-Rocher",56842
"2021A00051315013","Pointe-Verte",58466
"2021S0503522","Belleville - Quinte West",60090
"2021A00053512005","Belleville",61714
"2021A00053512015","Quinte West",63338
"2021A00053512020","Stirling-Rawdon",64962
"2021A00053512001","Tyendinaga",66586
"2021S0504610","Brandon",68210
"2021A00054607062","Brandon",69834
"2021A00054607071","Elton",71458
"2021A00054607072","Waywayseecappo Highway 10",73082
"2021A00054607057","Whitehead",74706
"2021S0503543","Brantford",76330
"2021A00053529005","Brant",77954
"2021A00053529006","Brantford",79578
"2021A00053529020","Six Nations (Part) 40",81202
"2021S0504512","Brockville",82826
"2021A00053507015","Brockville",84450
"2021A00053507014","Elizabethtown-Kitley",86074
"2021S0504806","Brooks",87698
"2021A00054802034","Brooks",89322
"2021S0503825","Calgary",90946
"2021A00054806021","Airdrie",92570
"2021A00054806024","Beiseker",94194
"2021A00054806016","Calgary",95818
"2021A00054806017","Chestermere",97442
"2021A00054806019","Cochrane",99066
"2021A00054806026","Crossfield",100690
"2021A00054806022","Irricana",102314
"2021A00054806014","Rocky View County",103938
"2021A00054806804","Tsuu T'ina Nation 145",105562
"2021S0504944","Campbell River",107186
"2021A00055924034","Campbell River",108810
"2021A00055924804","Campbell River 11",110434
"2021A00055924840","Homalco 9",112058
"2021A00055924843","Nenagwas 12",113682
"2021A00055924812","Quinsam 12",115306
"2021A00055924042","Strathcona D (Oyster Bay - Buttle Lake)",116930
"2021S0504330","Campbellton",118554
"2021A00051314012","Addington",120178
"2021A00051314013","Atholville",121802
"2021A00051314014","Campbellton",123426
"2021A00052406804","Listuguj",125050
"2021A00052406030","Pointe-à-la-Croix",126674
"2021A00051314015","Tide Head",128298
"2021S0504833","Camrose",129922
"2021A00054810011","Camrose",131546
"2021S0504828","Canmore",133170
