"Geography","Persons"
"Canada","38,007,166"
"Newfoundland and Labrador","521,359"
"Census subdivisions with 5,000-plus population, Newfoundland and Labrador","292,452"
"St. John's (CY), Newfoundland and Labrador","111,966"
"Conception Bay South (T), Newfoundland and Labrador","27,310"
"Mount Pearl (CY), Newfoundland and Labrador","23,012"
"Paradise (T), Newfoundland and Labrador","22,947"
"Corner Brook (CY), Newfoundland and Labrador","19,258"
"Grand Falls-Windsor (T), Newfoundland and Labrador","14,084"
"Gander (T), Newfoundland and Labrador","12,021"
"Portugal Cove-St. Philip's (T), Newfoundland and Labrador","8,543"
"Happy Valley-Goose Bay (T), Newfoundland and Labrador","8,158"
"Torbay (T), Newfoundland and Labrador","8,123"
"Labrador City (T), Newfoundland and Labrador","7,364"
"Stephenville (T), Newfoundland and Labrador","6,527"
"Clarenville (T), Newfoundland and Labrador","6,745"
"Bay Roberts (T), Newfoundland and Labrador","6,036"
"Marystown (T), Newfoundland and Labrador","5,077"
"Deer Lake (T), Newfoundland and Labrador","5,281"
"Census subdivisions with population under 5,000, Newfoundland and Labrador","228,907"
"Carbonear (T), Newfoundland and Labrador","4,724"
"Channel-Port aux Basques (T), Newfoundland and Labrador","3,946"
"Pasadena (T), Newfoundland and Labrador","3,784"
"Placentia (T), Newfoundland and Labrador","3,389"
"Bonavista (T), Newfoundland and Labrador","3,317"
"Lewisporte (T), Newfoundland and Labrador","3,358"
"Bishop's Falls (T), Newfoundland and Labrador","3,029"
"Division No.  8, Subd. L (SNO), Newfoundland and Labrador","2,993"
"Harbour Grace (T), Newfoundland and Labrador","2,897"
"Springdale (T), Newfoundland and Labrador","3,085"
"Division No.  1, Subd. E (SNO), Newfoundland and Labrador","2,843"
"Botwood (T), Newfoundland and Labrador","2,757"
"Spaniard's Bay (T), Newfoundland and Labrador","2,636"
"Division No.  7, Subd. E (SNO), Newfoundland and Labrador","2,552"
"Division No.  9, Subd. C (SNO), Newfoundland and Labrador","2,387"
"Holyrood (T), Newfoundland and Labrador","2,783"
"Burin (T), Newfoundland and Labrador","2,203"
"Grand Bank (T), Newfoundland and Labrador","2,229"
"St. Anthony (T), Newfoundland and Labrador","2,127"
"Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","2,280"
"Fogo Island (T), Newfoundland and Labrador","2,188"
"Twillingate (T), Newfoundland and Labrador","2,061"
"New-Wes-Valley (T), Newfoundland and Labrador","2,111"
"Wabana (T), Newfoundland and Labrador","2,171"
"Pouch Cove (T), Newfoundland and Labrador","2,103"
"Glovertown (T), Newfoundland and Labrador","2,007"
"Kippens (T), Newfoundland and Labrador","2,021"
"Gambo (T), Newfoundland and Labrador","1,885"
"Division No.  4, Subd. E (SNO), Newfoundland and Labrador","1,893"
"Division No.  7, Subd. M (SNO), Newfoundland and Labrador","1,912"
"Wabush (T), Newfoundland and Labrador","2,020"
"Division No.  8, Subd. H (SNO), Newfoundland and Labrador","1,809"
"Division No.  1, Subd. G (SNO), Newfoundland and Labrador","1,729"
"Trinity Bay North (T), Newfoundland and Labrador","1,671"
"Victoria (T), Newfoundland and Labrador","1,784"
"Division No.  4, Subd. A (SNO), Newfoundland and Labrador","1,644"
"Stephenville Crossing (T), Newfoundland and Labrador","1,611"
"Flatrock (T), Newfoundland and Labrador","1,760"
"Massey Drive (T), Newfoundland and Labrador","1,788"
"Harbour Breton (T), Newfoundland and Labrador","1,508"
"Witless Bay (T), Newfoundland and Labrador","1,674"
