GEO_NAME,C14_RATE_LOW_CI_MEN+_change,C15_RATE_LOW_CI_WOMEN+_change,C14_RATE_LOW_CI_MEN+_19,C14_RATE_LOW_CI_MEN+_20,C15_RATE_LOW_CI_WOMEN+_19,C15_RATE_LOW_CI_WOMEN+_20
Abbotsford - Mission,3.8495477608647697,9.6961006011803,54396.0,56490.0,36262.0,39778.0
"Abbotsford, City (CY)",4.2233036863008335,9.89727928928373,53631.0,55896.0,36020.0,39585.0
"Langley 2, Indian reserve (IRI)",3.306101321090181,14.199128061531919,44433.0,45902.0,28213.0,32219.0
"Matsqui Main 2, Indian reserve (IRI)",,,,,,
"Mission, District municipality (DM)",2.9402881660063604,9.119763592086901,56287.0,57942.0,36547.0,39880.0
"Upper Sumas 6, Indian reserve (IRI)",,,,,,
Alma,2.3138187445740384,6.764491330452836,52986.0,54212.0,35642.0,38053.0
"Alma, Ville (V)",2.3138187445740384,6.764491330452836,52986.0,54212.0,35642.0,38053.0
Amos,1.8603072222693713,8.47475006408613,58915.0,60011.0,39010.0,42316.0
"Amos, Ville (V)",2.244686365992742,8.083057166528583,57870.0,59169.0,38624.0,41746.0
"Berry, Municipalité (MÉ)",-2.265231939529621,5.949178935447338,41541.0,40600.0,28256.0,29937.0
"Pikogan, Indian reserve (IRI)",19.214203518000986,31.538056360284433,30415.0,36259.0,30376.0,39956.0
"Saint-Dominique-du-Rosaire, Municipalité (MÉ)",8.436359818358401,11.71737248741705,38097.0,41311.0,31193.0,34848.0
"Saint-Félix-de-Dalquier, Municipalité (MÉ)",7.981132075471697,14.15625,53000.0,57230.0,32000.0,36530.0
"Saint-Marc-de-Figuery, Paroisse (municipalité de) (PE)",-3.853239612266878,5.980015372790161,70564.0,67845.0,39030.0,41364.0
"Saint-Mathieu-d'Harricana, Municipalité (MÉ)",-1.7677024961793173,12.41274577716204,58890.0,57849.0,37534.0,42193.0
"Sainte-Gertrude-Manneville, Municipalité (MÉ)",5.016988042183295,12.134403921189255,45326.0,47600.0,31011.0,34774.0
"Trécesson, Canton (municipalité de) (CT)",1.6790980648265907,5.662420710638956,58186.0,59163.0,38782.0,40978.0
Baie-Comeau,2.014134880298441,6.973256050437258,58437.0,59614.0,39336.0,42079.0
"Baie-Comeau, Ville (V)",1.8222079480721445,7.895131086142322,59159.0,60237.0,40050.0,43212.0
"Chute-aux-Outardes, Village (VL)",7.258629653909623,9.249394673123486,44237.0,47448.0,26845.0,29328.0
"Pointe-Lebel, Village (VL)",-1.2383846852511702,3.874926657539605,57252.0,56543.0,40904.0,42489.0
"Pointe-aux-Outardes, Village (VL)",4.383882056916043,0.6680711870044908,56434.0,58908.0,36074.0,36315.0
"Ragueneau, Paroisse (municipalité de) (PE)",3.3234933831355304,9.64729883479148,49797.0,51452.0,25489.0,27948.0
Barrie,2.6721322628929105,6.902170063047533,58792.0,60363.0,42349.0,45272.0
"Barrie, City (CY)",3.731289708891202,7.954987361462182,55718.0,57797.0,41144.0,44417.0
"Innisfil, Town (T)",2.007530378230361,5.434000287894055,58430.0,59603.0,41682.0,43947.0
"Springwater, Township (TP)",-4.664133861450166,5.063081353193429,74226.0,70764.0,48271.0,50715.0
Bathurst,1.4071107767870972,5.654318825349564,45199.0,45835.0,34257.0,36194.0
"Bathurst, Parish (P)",-4.012333157531746,7.339242364365156,49298.0,47320.0,35426.0,38026.0
"Bathurst, City (C)",4.146893480324159,7.690686259748864,41091.0,42795.0,33209.0,35763.0
"Beresford, Parish (P)",-0.45442089879430037,6.146736339746881,43792.0,43593.0,33107.0,35142.0
"Beresford, Town (TV)",0.6705710740023078,1.2218828103304638,45931.0,46239.0,36010.0,36450.0
"Nigadoo, Village (VL)",5.9759110562075355,7.208852599914052,38856.0,41178.0,27924.0,29937.0
"Pabineau 11, Indian reserve (IRI)",,,,,,
"Petit-Rocher, Village (VL)",2.0613682568200087,1.5129444481228893,42302.0,43174.0,30206.0,30663.0
"Pointe-Verte, Village (VL)",10.959607066930577,8.363243410134693,40923.0,45408.0,25911.0,28078.0
Belleville - Quinte West,3.43712090578245,7.146557529917629,51933.0,53718.0,38606.0,41365.0
"Belleville, City (CY)",4.10510995474211,7.930505876341338,50157.0,52216.0,39140.0,42244.0
"Quinte West, City (CY)",3.645616557569337,6.158193596545013,52858.0,54785.0,37511.0,39821.0
"Stirling-Rawdon, Township (TP)",7.1866426611796985,6.8078278559353596,46656.0,50009.0,34901.0,37277.0
"Tyendinaga, Township (TP)",3.202379572758528,7.600683551406637,51774.0,53432.0,39207.0,42187.0
Brandon,4.993676464952286,7.27543624839011,52186.0,54792.0,39599.0,42480.0
"Brandon, City (CY)",5.1909608017645015,7.170232747024036,51686.0,54369.0,39399.0,42224.0
"Elton, Rural municipality (RM)",13.431735828198251,10.361589629882314,48847.0,55408.0,35178.0,38823.0
"Waywayseecappo Highway 10, Indian reserve (IRI)",,,,,,
"Whitehead, Rural municipality (RM)",1.596247545633045,14.286816323381935,55004.0,55882.0,38889.0,44445.0
Brantford,2.642031995918516,6.957148538476835,54882.0,56332.0,40232.0,43031.0
"Brant, City (CY)",2.6145118692275235,6.140683985971809,63989.0,65662.0,44767.0,47516.0
"Brantford, City (CY)",3.1642706837892582,7.421446123281225,50849.0,52458.0,38254.0,41093.0
"Six Nations (Part) 40, Indian reserve (IRI)",,,,,,
Brockville,2.8158697863682605,6.438352832437428,49150.0,50534.0,41113.0,43760.0
